"","x"
"1",0.211383743286133
"2",0.24632173538208
"3",1.33655487060547
"4",1.86735443115234
"5",0.137910203933716
"6",0.399120178222656
"7",0.261853713989258
"8",3.84860290527344
"9",0.213557949066162
"10",1.21196670532227
"11",0.91752555847168
"12",0.165086460113525
"13",1.13436637878418
"14",0.49224178314209
"15",0.752160415649414
"16",0.786078948974609
"17",0.135649614334106
"18",0.237702217102051
"19",1.00388740539551
"20",2.15049926757812
"21",0.196409587860107
"22",0.500226325988769
"23",0.424961700439453
"24",0.200321502685547
"25",0.280660362243652
"26",0.781482086181641
"27",0.122256622314453
"28",1.31498657226563
"29",0.214510631561279
"30",0.742574462890625
"31",4.08820709228516
"32",0.213040103912354
"33",0.261605644226074
"34",0.14042031288147
"35",0.151893186569214
"36",0.323743515014648
"37",0.434549827575684
"38",0.592220878601074
"39",0.262847709655762
"40",0.24408712387085
"41",0.573817138671875
"42",0.211647300720215
"43",1.33650314331055
"44",0.807281188964844
"45",0.442280616760254
"46",0.238352184295654
"47",0.37868236541748
"48",0.215585498809814
"49",0.815082702636719
"50",0.240222606658936
"51",0.215118560791016
"52",0.228422908782959
"53",1.18029258728027
"54",0.563617553710937
"55",0.351821250915527
"56",0.980535736083984
"57",0.153033657073975
"58",0.218674507141113
"59",0.174984855651855
"60",0.412672729492187
"61",1.27399719238281
"62",0.564529838562012
"63",0.271562061309814
"64",0.387666282653809
"65",0.632651519775391
"66",2.56688232421875
"67",1.399013671875
"68",0.246848640441895
"69",0.206029052734375
"70",0.555669059753418
"71",0.198177623748779
"72",0.297695236206055
"73",0.18917911529541
"74",2.76093566894531
"75",0.238131313323975
"76",0.23153247833252
"77",0.353002319335938
"78",1.99299041748047
"79",0.477386589050293
"80",0.302206020355225
"81",0.247309017181396
"82",0.237744407653809
"83",0.431902313232422
"84",2.00411590576172
"85",0.514024047851563
"86",0.122279291152954
"87",0.0909981060028076
"88",0.374307098388672
"89",0.919639511108398
"90",0.487746047973633
