"","x"
"1",0.00902787246704102
"2",0.0403938781738281
"3",0.0526107788085938
"4",2.5945439453125
"5",0.0185878051757812
"6",0.00679922561645508
"7",0.0100258499145508
"8",0.00800072326660156
"9",0.0107186019897461
"10",0.00768563461303711
"11",0.0747256713867187
"12",0.00634902038574219
"13",0.2741453125
"14",0.0982880493164063
"15",0.0407341674804687
"16",0.032395458984375
"17",0.0102407341003418
"18",0.4631955078125
"19",0.0481425689697266
"20",0.0128309173583984
"21",0.0158949859619141
"22",2.2199103515625
"23",0.191627087402344
"24",0.0171143218994141
"25",0.711235302734375
"26",0.0262490417480469
"27",0.0175196990966797
"28",0.0500312438964844
"29",0.0265189178466797
"30",0.0209946655273438
"31",0.0523035705566406
"32",0.00852555160522461
"33",0.0137526168823242
"34",0.00982943267822266
"35",0.0100812622070313
"36",0.0209857345581055
"37",0.0138707794189453
"38",0.00990444564819336
"39",0.0121183624267578
"40",0.136010693359375
"41",0.0195588836669922
"42",0.0133589126586914
"43",0.0236058975219727
"44",0.0257969909667969
"45",0.0326581817626953
"46",0.0260706237792969
"47",0.0254810943603516
"48",0.0167421188354492
"49",0.0274046447753906
"50",0.00477801818847656
"51",0.00610668029785156
"52",0.96069697265625
"53",0.91952548828125
"54",0.0194962844848633
"55",0.0135014221191406
"56",0.0371634460449219
"57",0.00690070877075195
"58",0.0141040328979492
"59",0.00468107833862305
"60",0.0829848754882812
"61",0.00382607536315918
"62",0.159061547851563
"63",0.00845961608886719
"64",0.0217838851928711
"65",0.0659398132324219
"66",0.0950448364257813
"67",0.05366455078125
"68",0.0143677459716797
"69",0.00618484115600586
"70",0.108963891601563
"71",0.00406993103027344
"72",0.0193771514892578
"73",0.00959040679931641
"74",0.0415869567871094
"75",0.0142689239501953
"76",0.053602099609375
"77",0.0190907119750977
"78",0.0881440795898437
"79",0.0364637634277344
"80",0.8453177734375
"81",0.0164969589233398
"82",0.00439233703613281
"83",0.0359011840820313
"84",1.3773076171875
"85",9.21186015625
"86",0.0985393310546875
"87",0.0144705200195313
"88",0.0494412322998047
"89",0.0163608428955078
"90",0.0702252685546875
